,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
Embryologists,0.354166667,0.354166667,0.354166667,0.354166667,0.354166667,0.340425532,0.361702128,0.361702128,0.361702128,0.361702128
Train_Scratch,0.5625,0.6875,0.520833333,0.645833333,0.645833333,0.510638298,0.638297872,0.595744681,0.595744681,0.638297872
FET,0.4375,0.375,0.375,0.375,0.375,0.404255319,0.340425532,0.404255319,0.382978723,0.446808511
Finetune_FET,0.6875,0.666666667,0.666666667,0.666666667,0.708333333,0.765957447,0.680851064,0.70212766,0.638297872,0.723404255
