,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
Embryologists,0.333333333,0.319148936,0.319148936,0.319148936,0.319148936,0.319148936,0.319148936,0.319148936,0.319148936,0.340425532
Train_Scratch,0.333333333,0.680851064,0.787234043,0.553191489,0.340425532,0.489361702,0.638297872,0.574468085,0.680851064,0.744680851
FET,0.416666667,0.425531915,0.446808511,0.425531915,0.361702128,0.446808511,0.446808511,0.425531915,0.446808511,0.468085106
Finetune_FET,0.729166667,0.70212766,0.70212766,0.70212766,0.765957447,0.638297872,0.659574468,0.659574468,0.638297872,0.723404255
